BAD PRACTICE,P1,P2,P3,P4,P5,P6,P7,P8,P9,COUPLING,COHESION,COMPLEXITY,INHERITANCE,SIZE,TOTALS
"Build reports contain verbose, irrelevant information",Not related,"Complexity, Size",Cohesion,"Coupling, Cohesion, Complexity",Not related,Not related,Not related,Not related,Size,1,2,2,0,2,7
Unnecessary re-build steps are performed,Not related,Complexity,Complexity,"Cohesion, Complexity",Complexity,Not related,Size,Not related,Coupling,1,1,4,0,1,7
Missing/Poor strict naming convention for build jobs,Not related,Cohesion,Cohesion,Complexity,Complexity,Not related,Complexity,Inheritance,Complexity,0,2,4,1,0,7
Production resources are used for testing purposes,Not related,Cohesion,Cohesion,Not related,Cohesion,Not related,Cohesion,Inheritance,"Coupling, Size",1,4,0,1,1,7
Team meeting/discussion is performed just before pushing on the master branch,Not related,Coupling,Complexity,Complexity,Not related,Not related,Complexity,Coupling,"Cohesion, Complexity",2,1,4,0,0,7
Local and remote workspace are not aligned,Not related,Inheritance,Cohesion,Not related,Not related,Not related,"Coupling, Cohesion, Complexity",Size,Not related,1,2,1,1,1,6
Blobs are unnecessarily checked-in at every build instead of being cached,Not related,Complexity,Complexity,Complexity,Coupling,Not related,Size,Not related,Complexity,1,0,4,0,1,6
"Generated artifacts are versioned, while they should not",Not related,Complexity,Complexity,Not related,Cohesion,Not related,Size,Cohesion,Complexity,0,2,3,0,1,6
Private builds are not used,Not related,Inheritance,Not related,"Complexity, Size",Size,Not related,Not related,Coupling,Complexity,1,0,2,1,2,6
Some tasks are executed without clearly reporting their results in the build output,Not related,Not related,Not related,"Cohesion, Complexity",Not related,Not related,Complexity,Cohesion,"Coupling, Inheritance",1,2,2,1,0,6
Missing notification mechanism,Not related,Not related,Not related,"Complexity, Size",Not related,Not related,Not related,"Coupling, Cohesion","Coupling, Complexity",2,1,2,0,1,6
The CI server hardware is used for different purposes other than running the CI framework,Not related,Cohesion,Size,Cohesion,Cohesion,Not related,Size,Not related,Not related,0,3,0,0,2,5
"Only the last commit is built, aborting obsolete and queued builds",Not related,Not related,Complexity,"Complexity, Size",Cohesion,Not related,Not related,Not related,Cohesion,0,2,2,0,1,5
Failures notifications are only sent to teams/developers that explicitly subscribed,Not related,Not related,Not related,"Complexity, Size",Not related,"Coupling, Inheritance",Not related,Coupling,Not related,2,0,1,1,1,5
Use quality gates in order to monitor the activity of specific developers,Not related,Cohesion,Coupling,Size,Not related,Not related,Cohesion,Not related,Coupling,2,2,0,0,1,5
Developers and operators are kept as separate roles,Not related,Cohesion,Complexity,Complexity,Not related,Not related,"Coupling, Cohesion",Not related,Not related,1,2,2,0,0,5
Issue notifications are ignored,Not related,Not related,Complexity,Complexity,Coupling,Not related,Not related,Coupling,Coupling,3,0,2,0,0,5
Pipeline steps/stages are skipped arbitrarily,Not related,Not related,Not related,"Complexity, Size",Not related,Not related,Complexity,Not related,Cohesion,0,1,2,0,1,4
Poor build triggering strategy,Not related,Cohesion,Not related,Not related,Cohesion,Not related,Not related,Inheritance,Coupling,1,2,0,1,0,4
A build is succeeded when a task is failed or an error is thrown,Not related,Not related,Cohesion,Complexity,Not related,Not related,Not related,Cohesion,Not related,0,2,1,0,0,3
TOTALS,,,,,,,,,,120,144,167,45,93,569
